iter	RMSE
0	0.37709996
1	0.3674440537
2	0.3584283259
3	0.3496503729
4	0.3411746547
5	0.3335739568
6	0.3256595876
7	0.3178787674
8	0.3105995665
9	0.3030423315
10	0.2959792352
11	0.289630392
12	0.2837367352
13	0.2782176588
14	0.2722324259
15	0.2669003995
16	0.2612442626
17	0.2562780408
18	0.2513787771
19	0.2465928842
20	0.241582208
21	0.2371577886
22	0.2330132861
23	0.2291682089
24	0.2250883833
25	0.2211756476
26	0.2173339184
27	0.2138512555
28	0.2105520832
29	0.2071052965
30	0.20377627
31	0.200402328
32	0.1974631757
33	0.1947142066
34	0.1918588379
35	0.1893268758
36	0.1868437128
37	0.1843376093
38	0.1820575446
39	0.1798939467
40	0.1776555936
41	0.1755993208
42	0.17357654
43	0.1715047957
44	0.1694035485
45	0.1677184139
46	0.1660800532
47	0.1642393962
48	0.1626129101
49	0.1610521392
50	0.1598197324
51	0.1585459909
52	0.1571742934
53	0.1557542948
54	0.1543460799
55	0.1530159485
56	0.1519045543
57	0.1508390333
58	0.1497249246
59	0.1486853449
60	0.1477925925
61	0.1467647424
62	0.1457252279
63	0.1448980597
64	0.1440136784
65	0.1429198344
66	0.1418608483
67	0.1410294002
68	0.1402876265
69	0.1393457781
70	0.1384828519
71	0.1377227807
72	0.1367657218
73	0.1360350424
74	0.1354035239
75	0.1347923786
76	0.1341226175
77	0.1334747137
78	0.1328720727
79	0.1319743252
80	0.1312392917
81	0.130666303
82	0.1303730185
83	0.1296743892
84	0.1288971231
85	0.1283738874
86	0.1278616227
87	0.1272593467
88	0.1267790743
89	0.1262898481
90	0.1256851799
91	0.1251881088
92	0.124718588
93	0.1242447907
94	0.1238175066
95	0.1236237323
96	0.1231397461
97	0.1225722733
98	0.1221212224
99	0.1217585263
100	0.1212710885
101	0.1210148397
102	0.1206876273
103	0.1202919121
104	0.1197133399
105	0.1194250853
106	0.1190026191
107	0.1186670965
108	0.1182090531
109	0.1178113332
110	0.1175594175
111	0.1172340372
112	0.1169642084
113	0.1167358581
114	0.1165409583
115	0.1161769706
116	0.1158119046
117	0.1156659974
118	0.1155763614
119	0.115308813
120	0.1149439082
121	0.114461734
122	0.1142425401
123	0.1140144052
124	0.1137277335
125	0.1133764686
126	0.1131429696
127	0.1127262364
128	0.1126058963
129	0.1124688362
130	0.112035203
131	0.1117851526
132	0.1114213448
133	0.111171434
134	0.1109562785
135	0.1107925374
136	0.1105958833
137	0.1104268487
138	0.110096028
139	0.1098436007
140	0.1095058684
141	0.1093131556
142	0.1092090159
143	0.1089341679
144	0.1085752852
145	0.1084209197
146	0.1082280884
147	0.1078959338
148	0.1076030363
149	0.1074518365
150	0.1072565824
151	0.1070652234
152	0.1068040982
153	0.106658675
154	0.1065368582
155	0.1063064811
156	0.1061216544
157	0.105917268
158	0.1056470639
159	0.1054063744
160	0.1052318065
161	0.1049870186
162	0.1047389229
163	0.1045294354
164	0.1043440082
165	0.1039424709
166	0.1037160724
167	0.1034934688
168	0.1033227096
169	0.1030346213
170	0.1028050586
171	0.1026113775
172	0.1024310762
173	0.1022860259
174	0.1021802516
175	0.1019611645
176	0.1018061181
177	0.1016815075
178	0.1014701207
179	0.101260971
180	0.1010869514
181	0.1009364407
182	0.1008086204
183	0.1005918697
184	0.1005472578
185	0.1003433734
186	0.1002384115
187	0.09996722023
188	0.09966923264
189	0.09944116263
190	0.09934368402
191	0.09930268705
192	0.09902712305
193	0.09879516312
194	0.09874633004
195	0.09850918189
196	0.09839771356
197	0.09813094678
198	0.0979233787
199	0.09762222505
200	0.09748059583
201	0.09733975416
202	0.09719829359
203	0.09704611562
204	0.09684983829
205	0.09663284948
206	0.09650883224
207	0.09631444026
208	0.09617655109
209	0.09600745455
210	0.09596755146
211	0.09576781842
212	0.09567772805
213	0.09560343791
214	0.09557224874
215	0.09533222468
216	0.09515662859
217	0.09511611289
218	0.09504229445
219	0.09485996003
220	0.09469047715
221	0.09465940241
222	0.09453420348
223	0.09442928849
224	0.09439226641
225	0.09416647786
226	0.0940005658
227	0.09396014674
228	0.09386399745
229	0.09375115536
230	0.09372335087
231	0.09363150608
232	0.09360258739
233	0.09344799557
234	0.09337489297
235	0.09332858631
236	0.0933038404
237	0.09309690997
238	0.09306547016
239	0.09295051331
240	0.0928241306
241	0.09276267119
242	0.09262030998
243	0.09247927694
244	0.09244960342
245	0.09240837477
246	0.09217002303
247	0.09214352419
248	0.09201919467
249	0.09180881809
250	0.09178303502
251	0.09161418637
252	0.09158456677
